"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"CZR","Caesars Entertainment Corp","Common stocks","Mid cap","Consumer Discretionary","$9,112,622,479","0.00%","0.00","0.00","0.00","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Industrials","$9,092,113,409","0.00%","0.00","0.00","0.00","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$9,071,810,793","1.91%","0.00","0.00","0.00","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Mid cap","Information Technology","$9,071,075,847","0.00%","0.00","0.00","0.00","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$9,056,107,495","2.09%","0.00","0.00","0.00","Analyze"
"HAS","Hasbro Inc","Common stocks","Mid cap","Consumer Discretionary","$8,742,598,603","4.33%","0.00","0.00","0.00","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$8,650,716,799","4.06%","0.00","0.00","0.00","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$8,495,376,477","3.81%","0.00","0.00","0.00","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$8,454,623,831","0.00%","0.00","0.00","0.00","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,341,837,683","4.13%","0.00","0.00","0.00","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,332,775,951","4.55%","0.00","0.00","0.00","Analyze"
"CTLT","Catalent Inc","Common stocks","Mid cap","Health Care","$8,308,918,904","0.00%","0.00","0.00","0.00","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$8,253,470,631","4.54%","0.00","0.00","0.00","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,051,676,357","2.30%","0.00","0.00","0.00","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Mid cap","Communication Services","$7,971,207,079","0.00%","0.00","0.00","0.00","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$7,758,098,800","2.54%","0.00","0.00","0.00","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$7,669,406,070","3.05%","0.00","0.00","0.00","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$7,593,244,021","1.81%","0.00","0.00","0.00","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$7,335,869,556","3.78%","0.00","0.00","0.00","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$7,314,698,509","4.35%","0.00","0.00","0.00","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$7,238,662,401","1.59%","0.00","0.00","0.00","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$7,184,504,349","1.49%","0.00","0.00","0.00","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$7,181,886,977","0.00%","0.00","0.00","0.00","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$7,072,850,000","0.00%","0.00","0.00","0.00","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$6,720,515,943","2.01%","0.00","0.00","0.00","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$6,665,213,083","2.17%","0.00","0.00","0.00","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,363,604,068","0.00%","0.00","0.00","0.00","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Mid cap","Industrials","$6,226,033,625","0.00%","0.00","0.00","0.00","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$5,835,896,000","6.38%","0.00","0.00","0.00","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Mid cap","Communication Services","$5,648,822,323","13.43%","0.00","0.00","0.00","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$5,594,816,725","0.00%","0.00","0.00","0.00","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$5,377,014,236","0.00%","0.00","0.00","0.00","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$5,272,753,858","5.70%","0.00","0.00","0.00","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$4,173,931,044","9.45%","0.00","0.00","0.00","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Mid cap","Health Care","$3,229,255,779","0.39%","0.00","0.00","0.00","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Small cap","Consumer Staples","$758,773,749","3.03%","0.00","0.00","0.00","Analyze"
